listing_id,host_since,host_acceptance_rate,superhost,host_total_listings,neighborhood,room_type,accommodates,beds,min_nights,total_reviews,avg_rating,price
6404202,5/7/2015,1,TRUE,4,FortMcNair,PrivateRoom,1,1,31,88,4.86,70
6438519,5/14/2012,0.99,TRUE,4,Georgetown,EntireHome/apt,3,2,2,136,4.88,102
6447693,5/18/2015,1,FALSE,2,DupontCircle,EntireHome/apt,6,4,31,42,4.53,340
6490357,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,10,5,39
6569449,5/18/2009,0.96,FALSE,158,CapitolHill,EntireHome/apt,2,2,1,35,4.89,159
6612371,9/5/2013,0,FALSE,4,Takoma,PrivateRoom,1,1,21,23,4.78,31
6627551,5/31/2015,0.2,FALSE,5,Bellevue,EntireHome/apt,2,1,31,2,0,125
6674537,1/13/2015,NA,FALSE,1,Georgetown,EntireHome/apt,2,1,31,1,4,125
6690084,9/25/2014,NA,FALSE,1,CapitolHill,EntireHome/apt,1,1,31,1,4,500
6832557,6/14/2015,0.96,TRUE,2,CapitolHill,EntireHome/apt,3,1,2,329,4.87,122
6835726,2/27/2014,NA,FALSE,3,FortMcNair,EntireHome/apt,8,4,3,36,4.91,650
6836332,6/14/2015,0.79,FALSE,1,CapitolHill,EntireHome/apt,2,1,1,135,4.62,121
6956685,4/26/2015,1,TRUE,3,Takoma,PrivateRoom,2,1,1,104,4.9,63
6968949,3/30/2015,0.92,FALSE,682,Downtown,EntireHome/apt,3,2,1,NA,NA,294
6969950,3/30/2015,0.92,FALSE,682,Downtown,EntireHome/apt,5,2,1,17,4.41,364
7076206,3/27/2015,0.98,FALSE,3,CapitolHill,EntireHome/apt,5,3,31,63,4.71,55
7181782,9/17/2014,0.97,FALSE,3,CapitolHill,EntireHome/apt,6,3,2,404,4.52,145
7198161,11/26/2013,0.77,FALSE,8,Georgetown,EntireHome/apt,2,1,90,5,4,85
7220755,7/6/2015,NA,FALSE,1,CapitolHill,NA,4,2,31,95,4.53,159
7385563,5/19/2011,0.76,FALSE,1,Takoma,EntireHome/apt,2,1,3,69,4.76,80
7429332,9/10/2014,0.88,FALSE,6,Georgetown,EntireHome/apt,4,2,31,6,4.5,295
7452083,6/5/2013,0.75,FALSE,1,DupontCircle,EntireHome/apt,3,1,31,70,4.96,200
7542054,11/26/2013,0.77,FALSE,8,Georgetown,EntireHome/apt,2,1,60,1,5,80
7559867,3/5/2015,1,TRUE,6,DupontCircle,EntireHome/apt,6,5,31,378,4.93,198
7599680,2/19/2015,0.92,FALSE,15,DupontCircle,EntireHome/apt,3,2,31,39,4.53,85
7599768,2/19/2015,0.92,FALSE,15,DupontCircle,EntireHome/apt,4,1,31,19,4.84,88
7626430,9/6/2014,0.6,FALSE,1,Petworth,EntireHome/apt,4,3,70,22,4.95,110
7629788,3/30/2015,0.92,FALSE,682,Downtown,EntireHome/apt,3,2,1,2,3.5,294
7660850,5/7/2015,1,TRUE,1,Georgetown,EntireHome/apt,2,1,10,55,4.87,85
7714870,9/25/2012,1,FALSE,17,FortMcNair,PrivateRoom,2,1,31,413,4.43,87
7714880,9/25/2012,1,FALSE,17,FortMcNair,PrivateRoom,3,1,1,414,4.31,89
7725828,3/30/2015,0.92,FALSE,682,Downtown,EntireHome/apt,3,2,1,18,4.44,294
7733108,2/19/2015,0.92,FALSE,15,DupontCircle,EntireHome/apt,6,3,31,54,4.41,70
7800582,8/10/2015,1,TRUE,7,DupontCircle,EntireHome/apt,2,1,3,177,4.79,165
7801335,8/10/2015,1,TRUE,7,Georgetown,EntireHome/apt,2,1,3,230,4.75,152
7930288,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,2,1,31,52,4.88,160
7931456,10/14/2013,0.63,FALSE,383,Downtown,NA,5,2,31,2,4,364
7968494,5/15/2012,0.81,TRUE,3,Petworth,EntireHome/apt,5,2,2,32,4.84,200
8165340,11/27/2013,1,TRUE,30,DupontCircle,EntireHome/apt,2,1,31,27,4.7,123
8292724,9/8/2015,NA,FALSE,5,Petworth,PrivateRoom,2,1,31,8,4.88,130
8353034,9/12/2015,0.93,TRUE,2,Takoma,PrivateRoom,2,1,2,604,4.91,81
8363399,4/15/2018,NA,FALSE,1,DupontCircle,EntireHome/apt,2,1,2,305,4.82,141
8440178,9/17/2015,1,FALSE,3,CapitolHill,EntireHome/apt,3,2,31,188,4.61,89
8468562,12/8/2014,0.8,FALSE,2,Georgetown,PrivateRoom,2,1,5,NA,NA,100
8565538,3/7/2014,1,TRUE,3,Georgetown,EntireHome/apt,4,2,31,167,4.83,375
8606256,9/17/2015,NA,FALSE,2,Georgetown,EntireHome/apt,8,4,31,10,4.89,90
8645356,8/10/2015,1,TRUE,7,Georgetown,EntireHome/apt,2,1,3,185,4.82,135
8645554,8/10/2015,1,TRUE,7,Georgetown,EntireHome/apt,2,1,3,198,4.81,102
8645700,8/10/2015,1,TRUE,7,Georgetown,EntireHome/apt,2,1,3,211,4.73,95
8646332,8/10/2015,1,TRUE,7,DupontCircle,EntireHome/apt,2,1,3,64,4.88,140
8646530,8/10/2015,1,TRUE,7,DupontCircle,EntireHome/apt,2,1,3,145,4.85,138
8682987,12/31/2013,NA,FALSE,1,Georgetown,EntireHome/apt,2,1,30,21,4.3,235
8933705,5/18/2009,0.96,FALSE,158,Georgetown,EntireHome/apt,5,5,31,64,4.62,183
9094563,10/25/2015,0.94,TRUE,2,CapitolHill,EntireHome/apt,2,1,1,160,4.97,134
9113304,6/8/2012,0,FALSE,2,CapitolHill,EntireHome/apt,6,4,31,92,4.87,239
9156290,4/11/2013,1,TRUE,1,CapitolHill,EntireHome/apt,6,3,1,491,4.75,187
9171118,7/3/2013,0.95,TRUE,2,DupontCircle,EntireHome/apt,3,1,2,217,4.92,295
9199346,8/9/2013,1,FALSE,11,Downtown,PrivateRoom,1,1,31,95,4.61,59
9215039,11/1/2015,0.88,TRUE,1,CapitolHill,EntireHome/apt,4,3,4,115,4.9,175
9283035,3/22/2014,0.86,TRUE,4,CapitolHill,EntireHome/apt,5,3,5,125,4.85,145
9318555,1/23/2014,0.95,FALSE,7,Georgetown,EntireHome/apt,5,6,3,79,4.57,125
9363284,10/15/2015,0.99,TRUE,250,DupontCircle,EntireHome/apt,4,2,2,158,4.84,212
9371337,8/8/2014,1,TRUE,2,Petworth,EntireHome/apt,4,2,1,77,4.78,79
9473056,3/30/2014,0.8,TRUE,1,CapitolHill,EntireHome/apt,2,1,31,18,4.94,85
9586160,4/5/2013,0,FALSE,29,DupontCircle,EntireHome/apt,6,3,31,259,4.82,99
9624481,10/19/2013,NA,FALSE,4,CapitolHill,EntireHome/apt,4,1,31,97,4.84,163
9644823,2/15/2013,0.86,FALSE,7,Bellevue,EntireHome/apt,3,1,31,149,4.72,85
9727618,1/8/2013,NA,FALSE,1,CapitolHill,EntireHome/apt,4,2,31,1,5,310
9907100,8/8/2012,1,TRUE,1,Petworth,NA,4,2,31,60,4.77,90
9954831,6/11/2014,0.96,FALSE,147,Downtown,EntireHome/apt,5,2,3,14,4.43,440
9973170,2/10/2015,0.98,TRUE,2,Georgetown,EntireHome/apt,4,2,2,216,4.96,144
9993065,12/14/2015,1,FALSE,3,FortMcNair,EntireHome/apt,1,1,27,1,5,149
10021464,6/11/2014,0.96,FALSE,147,Downtown,EntireHome/apt,5,2,3,10,4.9,436
10021714,6/11/2014,0.96,FALSE,147,Downtown,EntireHome/apt,5,2,1,63,4.83,422
10021958,6/11/2014,0.96,FALSE,147,Downtown,EntireHome/apt,5,2,3,10,4.3,445
10059402,6/11/2014,0.96,FALSE,147,Downtown,EntireHome/apt,5,2,3,11,4.91,436
10059646,6/11/2014,0.96,FALSE,147,Downtown,EntireHome/apt,5,2,3,6,4.83,445
10066573,9/21/2015,NA,FALSE,2,CapitolHill,EntireHome/apt,3,2,31,79,4.89,80
10343356,8/1/2015,1,FALSE,5,DupontCircle,EntireHome/apt,2,1,31,51,4.96,95
10453467,1/8/2016,0,FALSE,1,Petworth,PrivateRoom,2,1,31,66,4.97,75
10526371,7/19/2014,1,TRUE,9,CapitolHill,EntireHome/apt,4,2,1,443,4.96,115
10543751,1/6/2016,1,TRUE,18,CapitolHill,EntireHome/apt,2,1,31,55,4.96,270
10543985,1/6/2016,1,TRUE,18,CapitolHill,EntireHome/apt,4,2,31,54,4.76,389
10551108,10/11/2015,1,TRUE,1,CapitolHill,EntireHome/apt,4,1,2,126,4.92,154
10575202,1/13/2016,1,FALSE,4,Petworth,PrivateRoom,4,1,31,7,4.43,65
10617103,3/5/2013,1,FALSE,1,FortMcNair,EntireHome/apt,9,4,31,165,4.85,385
10626368,6/15/2014,1,TRUE,3,CapitolHill,EntireHome/apt,2,1,2,351,4.87,104
10651132,8/8/2015,NA,FALSE,1,Petworth,PrivateRoom,6,2,31,40,4.82,65
10694497,1/19/2016,0.92,TRUE,1,Petworth,EntireHome/apt,4,2,2,97,4.81,156
10733608,1/21/2016,0,FALSE,1,Georgetown,EntireHome/apt,2,1,2,9,4,200
11031634,9/28/2014,0,FALSE,2,CapitolHill,EntireHome/apt,2,1,31,NA,NA,95
11105778,9/10/2014,0.88,FALSE,6,Georgetown,EntireHome/apt,3,1,31,62,4.89,245
11126528,2/7/2016,1,TRUE,1,CapitolHill,EntireHome/apt,4,2,2,282,4.98,155
11144448,5/29/2012,0.93,TRUE,1,Petworth,EntireHome/apt,2,1,3,164,4.86,90
11183754,2/10/2016,0.99,TRUE,1,CapitolHill,EntireHome/apt,2,1,3,260,4.95,125
11296745,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,15,4.67,35
11357292,11/28/2015,1,FALSE,1,Takoma,EntireHome/apt,4,1,2,46,4.64,90
11371592,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,55,4.87,275
11553508,1/6/2016,1,TRUE,18,CapitolHill,EntireHome/apt,4,1,31,25,4.76,706
11592639,3/2/2016,1,TRUE,3,Georgetown,EntireHome/apt,3,3,90,100,4.53,80
11637325,3/5/2016,1,TRUE,1,Petworth,EntireHome/apt,6,3,3,117,4.83,205
11714338,3/7/2013,0.95,TRUE,4,CapitolHill,PrivateRoom,1,1,2,52,4.9,110
11759609,12/23/2015,0.5,FALSE,1,CapitolHill,EntireHome/apt,6,4,31,35,4.94,150
11767916,3/12/2016,0.98,FALSE,1,Georgetown,EntireHome/apt,3,1,31,146,4.82,200
11809415,3/7/2013,0.95,TRUE,4,CapitolHill,PrivateRoom,2,1,2,70,4.93,100
